sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
麥寮,雲林縣,20,,良好,1.3,0.09,27.5,15.9,10,0,1.6,2.1,0.5,2.4,255,"2022/06/23 11:00:00",0.1,6,18,1,120.251825,23.753506,83
富貴角,新北市,32,,良好,0.5,0.13,45.3,27.3,16,9,2.3,2.9,0.5,3,262,"2022/06/23 11:00:00",0.1,9,19,0,121.54738,25.29228,84
大城,彰化縣,31,,良好,1.3,0.07,26.6,11.8,16,3,2.3,2.5,0.1,3,234,"2022/06/23 11:00:00",0.1,9,26,0,120.26964167,23.85493056,85
高雄(湖內),高雄市,31,,良好,3.4,0.23,28.5,11.2,21,7,8.7,12.7,4,1.9,264,"2022/06/23 11:00:00",0.2,9,18,1,120.24535,22.87985556,202
臺南(麻豆),臺南市,29,,良好,2.4,0.16,24.9,10.4,16,5,5.6,8.1,2.5,1.2,310,"2022/06/23 11:00:00",0.2,9,19,0,120.24583056,23.17904722,203
屏東(琉球),屏東縣,23,,良好,0.7,0.03,,11.5,9,4,2.4,4.5,2,1,187,"2022/06/23 11:00:00",0,7,13,0,120.37722,22.35222,204
桃園(三民),桃園市,40,,良好,0.9,0.37,50.6,19.2,21,12,14.5,21,6.5,0.5,250,"2022/06/23 11:00:00",0.3,12,33,2,121.31820833,25.00121944,310
新北(樹林),新北市,37,,良好,0.3,0.19,41.1,17.7,13,11,7.1,8.7,1.5,0.6,25,"2022/06/23 11:00:00",0.2,11,21,0,121.38352778,24.94902778,311
臺南(學甲),臺南市,19,,良好,0.5,0.11,21.3,14.3,15,0,4.9,11.4,6.4,2.7,242,"2022/06/23 11:00:00",0.1,5,17,0,120.18339722,23.23688056,312
屏東(枋寮),屏東縣,13,,良好,0.4,0.01,24,14.4,11,1,1.4,2.1,0.6,0.8,278,"2022/06/23 11:00:00",0,2,8,0,120.59036944,22.38474167,313
